ruleId;originalAddress;originalPort;translatedAddress;translatedPort;action;enabled;edgeId
204828;10.1.1.39;any;77.52.184.179;any;snat;false;edge-3
196609;10.1.0.0/20;any;77.52.184.180;any;snat;true;edge-3
204822;77.52.184.178;443;10.1.1.34;443;dnat;true;edge-3
204826;77.52.184.182;6180;10.1.1.29;6180;dnat;true;edge-3
204833;77.52.184.182;4443;10.1.1.29;4443;dnat;true;edge-3
204835;77.52.184.182;6181;10.1.1.52;6181;dnat;true;edge-3
204836;77.52.184.179;8080;10.1.1.39;80;dnat;false;edge-3
204837;77.52.184.179;12222;10.1.1.39;22;dnat;false;edge-3
204849;77.52.184.182;1280;10.1.1.38;1280;dnat;true;edge-3
204850;10.1.1.38;1280;77.52.184.182;any;snat;true;edge-3
204851;10.1.1.52;6181;77.52.184.182;any;snat;true;edge-3
204852;77.52.184.182;9443;10.1.1.38;9443;dnat;true;edge-3
204856;77.52.184.178;8443;10.1.1.32;443;dnat;true;edge-3
204858;77.52.184.182;5201;10.1.1.70;5201;dnat;true;edge-3
204863;77.52.184.183;443;10.1.1.44;8048;dnat;true;edge-3
204865;77.52.184.182;6182;10.1.1.53;6182;dnat;true;edge-3
204867;77.52.184.182;6183;10.1.1.54;6183;dnat;true;edge-3
204875;77.52.184.182;10015;10.1.1.49;10051;dnat;true;edge-3
213074;77.52.184.182;1281;10.1.1.54;1280;dnat;true;edge-3
